model,accuracy,precision,recall,f1,balanced_accuracy,mcc,tn,fp,fn,tp,support
Naive Bayes,0.8006387421692667,0.5619713129827142,0.7795918367346939,0.6531310108997649,0.7934522846511198,0.5320354096489791,4990,1191,432,1528,8141
Logistic Regression,0.8491585800270237,0.7296110414052698,0.5933673469387755,0.6544738323016319,0.7618187648785448,0.5641866998944928,5750,431,797,1163,8141
MLP,0.8433853334971134,0.7082066869300911,0.5943877551020408,0.6463245492371706,0.7583652090507778,0.5501935260757898,5701,480,795,1165,8141
Decision Tree,0.8568971870777545,0.7781665500349895,0.5673469387755102,0.6562407789908528,0.7580303695657198,0.5799841687751063,5864,317,848,1112,8141
